ST	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	lineage_ICE
376	4	4	5	4	1	8	8	2	4	4	2	ybt 14; ICEKp5
377	3	12	4	3	14	50	216	3	15	8	2	ybt 10; ICEKp4
378	6	15	22	4	1	37	44	14	1	4	17	ybt 15; ICEKp11
379	4	4	31	4	1	67	150	2	4	4	36	ybt 14; ICEKp5
380	18	20	27	31	13	41	71	9	8	30	35	ybt 4; plasmid
381	3	10	4	3	29	5	94	3	10	9	10	ybt 10; ICEKp4
382	4	4	5	4	1	69	191	2	4	4	20	ybt 14; ICEKp5
383	3	12	4	66	3	137	139	3	10	60	2	ybt 10; ICEKp4
384	16	12	4	3	3	61	54	3	10	9	39	ybt 10; ICEKp4
385	3	12	4	3	3	35	54	3	10	9	2	ybt 10; ICEKp4
386	16	12	4	3	3	35	50	3	10	9	2	ybt 10; ICEKp4
387	3	10	4	3	29	5	122	3	10	9	10	ybt 10; ICEKp4
388	3	12	4	3	3	85	85	3	10	42	101	ybt 10; ICEKp4
389	5	11	45	5	1	99	98	9	29	109	11	ybt 8; ICEKp9
390	5	11	94	5	66	226	600	9	60	116	119	ybt 8; ICEKp3
391	6	15	5	4	11	479	567	2	11	126	2	ybt 16; ICEKp12
392	125	12	4	3	29	464	254	3	10	9	2	ybt 10; ICEKp4
393	81	4	5	4	1	8	243	2	4	4	2	ybt 14; ICEKp5
394	5	11	6	5	30	105	107	36	33	160	11	ybt 8; ICEKp3
395	6	15	5	4	11	511	536	2	11	51	2	ybt 16; ICEKp12
396	6	15	5	4	90	479	567	2	11	126	2	ybt 16; ICEKp12
397	3	3	4	3	3	341	610	3	3	3	32	ybt 10; ICEKp4
398	130	152	61	68	43	447	554	48	8	5	303	ybt 19; ICEKp16
399	5	11	94	5	66	226	239	9	60	5	260	ybt 8; ICEKp3
400	21	21	99	105	67	230	606	17	1	5	29	ybt 18; ICEKp15
402	6	149	21	4	1	257	397	2	65	4	2	ybt 14; ICEKp5
403	68	74	79	85	53	214	215	58	82	100	105	ybt 24; ICEKp16
404	5	11	6	5	94	25	37	9	5	5	11	ybt 9; ICEKp3
405	11	9	181	8	1	2	2	8	9	8	306	ybt 22; ICEKp12
406	21	21	194	105	67	230	607	17	1	5	29	ybt 18; ICEKp15
407	8	7	9	6	5	231	1	6	7	7	6	ybt 2; ICEKp1
408	5	19	6	55	1	16	535	9	5	5	55	ybt 9; ICEKp3
409	130	152	61	68	43	447	554	48	117	5	71	ybt 19; ICEKp16
410	5	11	94	5	66	226	239	9	60	5	261	ybt 8; ICEKp3
411	5	63	182	174	72	448	555	9	8	162	276	ybt 19; ICEKp16
412	4	4	18	4	1	473	574	2	4	4	2	ybt 14; ICEKp5
413	18	20	27	18	13	486	605	9	8	26	35	ybt 4; plasmid
414	5	19	6	5	1	490	406	9	5	5	21	ybt 9; ICEKp3
415	3	12	4	11	3	21	18	3	10	150	2	ybt 10; ICEKp4
416	4	4	5	4	1	495	191	2	4	4	20	ybt 14; ICEKp5
417	4	4	5	120	1	263	273	129	4	4	2	ybt 14; ICEKp5
418	6	15	5	4	11	480	517	2	11	126	177	ybt 16; ICEKp12
419	5	19	6	5	1	304	336	9	74	5	21	ybt 9; ICEKp3
420	137	11	6	5	30	105	107	36	33	55	11	ybt 8; ICEKp3
421	30	88	37	44	47	104	238	25	59	45	49	ybt 4; plasmid
422	8	7	9	6	102	444	1	6	7	168	6	ybt 2; ICEKp1
423	6	15	5	4	1	483	568	130	1	157	26	ybt 15; ICEKp11
424	6	15	5	4	11	245	569	2	11	4	2	ybt 16; ICEKp12
425	4	4	5	4	1	504	441	2	4	4	2	ybt 14; ICEKp5
426	44	61	73	179	1	454	560	45	38	63	279	ybt 21; ICEKp11
427	3	12	196	3	20	428	528	3	101	56	2	ybt 10; ICEKp4
428	127	61	73	65	40	455	542	133	38	63	280	ybt 25; ICEKp2
429	3	10	4	3	29	5	613	132	10	9	10	ybt 10; ICEKp4
430	6	4	5	4	1	131	550	108	4	127	281	ybt 0; ICEKp2
431	6	4	131	134	1	439	538	2	4	4	2	ybt 13; ICEKp2
432	132	65	201	71	46	452	26	2	11	4	2	ybt 20; ICEKp10
433	5	11	204	5	30	105	107	36	33	55	11	ybt 8; ICEKp3
434	5	11	6	5	1	471	588	121	5	5	11	ybt 9; ICEKp3
435	6	15	5	4	11	33	23	2	11	4	282	ybt 16; ICEKp12
436	6	15	197	4	11	481	23	2	11	4	2	ybt 16; ICEKp12
437	4	4	31	4	1	67	449	2	4	4	36	ybt 14; ICEKp5
438	5	11	6	5	1	512	601	9	5	5	11	ybt 9; ICEKp3
439	4	4	56	4	1	135	456	2	4	4	60	ybt 14; ICEKp2
440	5	11	6	5	1	25	589	9	5	5	11	ybt 9; ICEKp3
441	4	111	137	4	1	27	184	2	4	4	2	ybt 14; ICEKp12
442	4	4	5	4	1	183	191	2	4	4	159	ybt 14; ICEKp5
443	16	12	4	3	3	35	50	3	10	9	141	ybt 10; ICEKp4
444	5	11	205	5	1	482	15	9	5	5	11	ybt 9; ICEKp3
445	3	12	4	3	29	316	359	3	10	9	2	ybt 10; ICEKp4
446	5	11	6	5	1	506	138	9	29	5	79	ybt 8; ICEKp9
447	6	4	131	134	1	323	367	2	4	4	283	ybt 13; ICEKp2
448	100	15	5	4	11	346	422	2	11	4	302	ybt 16; ICEKp12
449	6	4	20	14	1	126	373	3	10	9	2	ybt 0; ICEKp4
450	30	34	192	44	47	425	523	25	23	45	49	ybt 4; plasmid
451	121	32	190	173	1	500	608	128	109	165	278	ybt 0; ICEKp?
452	138	63	123	68	72	299	333	9	8	104	14	ybt 0; ICEKp?
453	4	4	18	4	1	27	575	2	4	4	2	ybt 14; ICEKp5
454	4	4	56	4	1	135	540	2	4	4	60	ybt 14; ICEKp2
455	18	20	27	31	13	487	71	9	8	26	35	ybt 4; plasmid
456	128	61	73	77	1	456	543	45	112	63	2	ybt 0; ICEKp17
457	3	12	4	3	14	50	565	3	103	8	2	ybt 10; ICEKp4
458	127	61	130	65	40	320	363	88	38	63	2	ybt 25; ICEKp2
459	54	142	176	77	98	478	583	33	116	48	275	ybt 28; ICEKp6
460	44	61	58	65	40	242	544	45	38	63	291	ybt 26; ICEKp18
461	5	11	173	162	1	438	537	9	20	31	284	ybt 7; ICEKp7
462	5	11	6	5	1	472	581	137	5	5	11	ybt 9; ICEKp3
463	75	34	37	44	47	104	227	25	23	45	118	ybt 4; plasmid
464	6	4	131	61	1	126	395	2	4	4	2	ybt 13; ICEKp2
465	4	4	5	159	1	69	62	2	4	4	20	ybt 14; ICEKp5
466	6	15	5	144	11	367	429	2	11	4	307	ybt 16; ICEKp12
467	3	3	4	3	3	341	7	3	3	3	298	ybt 10; ICEKp4
468	7	1	184	1	1	465	594	1	1	1	274	ybt 12; ICEKp10
469	6	4	131	61	1	126	131	2	114	4	285	ybt 13; ICEKp2
470	3	12	4	11	3	461	18	3	10	16	2	ybt 10; ICEKp4
471	4	4	31	4	1	67	558	2	4	4	286	ybt 14; ICEKp5
472	6	15	22	4	1	484	34	14	1	4	17	ybt 15; ICEKp11
473	3	12	4	11	3	462	18	3	10	16	2	ybt 10; ICEKp4
474	3	12	4	11	3	463	18	3	10	16	2	ybt 10; ICEKp4
475	6	123	5	144	11	352	429	2	11	4	213	ybt 16; ICEKp12
476	5	11	6	5	1	507	614	9	29	161	269	ybt 8; ICEKp3
477	5	11	6	5	1	99	138	9	29	5	305	ybt 8; ICEKp9
478	5	11	6	5	1	25	37	9	5	5	156	ybt 9; ICEKp3
479	3	12	4	66	3	442	400	3	10	60	2	ybt 10; ICEKp4
480	5	11	6	5	1	25	282	9	87	5	11	ybt 9; ICEKp3
481	32	12	193	39	25	505	564	135	25	8	2	ybt 10; ICEKp4
482	72	8	10	100	18	200	225	7	8	5	117	ybt 0; ICEKp16 
483	3	12	4	11	3	21	559	3	10	16	2	ybt 10; ICEKp4
484	132	65	202	71	46	452	26	2	11	4	2	ybt 20; ICEKp10
485	18	20	27	18	13	81	38	9	8	26	300	ybt 4; plasmid
486	4	4	5	4	1	69	561	2	4	4	20	ybt 14; ICEKp5
487	6	145	5	4	1	485	571	2	1	4	26	ybt 15; ICEKp11
488	18	20	27	18	13	41	591	9	8	26	22	ybt 4; plasmid
489	19	1	1	150	1	23	592	1	1	1	227	ybt 12; ICEKp10
490	2	2	188	2	2	36	6	2	2	2	2	ybt 1; ICEKp10
491	134	148	174	68	96	458	585	138	108	5	289	ybt 0; ICEKp19
492	18	20	27	31	13	488	71	9	8	26	35	ybt 4; plasmid
493	129	61	58	65	40	138	546	45	38	63	291	ybt 26; ICEKp18
494	6	4	20	61	1	470	580	2	76	4	290	ybt 13; ICEKp2
495	129	61	58	65	40	443	546	45	38	63	291	ybt 26; ICEKp18
496	6	15	5	4	11	466	435	2	11	4	2	ybt 16; ICEKp12
497	4	4	5	4	1	69	530	2	4	4	20	ybt 14; ICEKp5
498	139	32	6	175	97	498	602	139	105	5	292	ybt 0; ICEKp20
499	6	15	5	144	11	467	429	2	11	4	2	ybt 16; ICEKp12
500	6	4	131	134	1	323	367	2	4	4	2	ybt 13; ICEKp2
501	18	20	143	18	13	81	38	9	8	26	35	ybt 4; plasmid
502	3	12	4	66	3	137	139	3	10	167	2	ybt 10; ICEKp4
503	140	11	6	5	1	60	65	9	5	5	11	ybt 9; ICEKp3
504	11	9	11	8	1	2	582	8	9	8	8	ybt 22; ICEKp12
505	4	4	198	4	1	69	562	2	4	4	20	ybt 14; ICEKp5
506	22	22	6	24	16	53	596	9	17	5	30	ybt 6; ICEKp5
507	4	4	5	163	1	433	532	2	4	4	271	ybt 14; ICEKp12
508	141	153	183	68	72	469	566	140	118	163	277	ybt 0; ICEKp?
509	6	4	131	61	1	126	539	2	4	4	2	ybt 13; ICEKp2
510	23	27	30	18	13	65	598	9	18	26	35	ybt 4; plasmid
511	5	19	26	5	1	499	53	9	5	5	21	ybt 9; ICEKp3
512	22	22	6	24	16	53	597	9	17	5	30	ybt 6; ICEKp5
513	16	12	4	3	3	261	54	3	10	9	2	ybt 10; ICEKp4
514	68	74	79	85	53	460	215	58	82	100	105	ybt 24; ICEKp16
515	18	20	27	161	13	81	38	9	8	26	35	ybt 4; plasmid
516	4	4	5	120	1	263	273	2	4	159	2	ybt 14; ICEKp5
517	5	11	6	98	63	453	210	9	5	5	270	ybt 9; ICEKp3
518	5	11	6	5	1	25	590	9	5	5	11	ybt 9; ICEKp3
519	18	20	187	18	13	81	38	9	8	26	35	ybt 4; plasmid
520	3	12	4	11	3	83	18	3	10	151	2	ybt 10; ICEKp4
521	123	146	6	24	16	492	51	9	106	5	30	ybt 6; ICEKp5
522	86	12	117	3	1	274	552	70	1	4	153	ybt 0; ICEKp5
523	6	4	139	4	1	257	549	2	65	4	293	ybt 14; ICEKp5
524	3	3	4	3	3	341	7	3	3	3	32	ybt 10; ICEKp4
525	30	34	37	44	47	104	393	25	83	45	49	ybt 4; plasmid
526	6	4	186	167	1	257	250	2	65	4	2	ybt 14; ICEKp5
527	121	32	190	176	1	502	609	128	109	165	278	ybt 0; ICEKp?
528	3	12	4	3	29	235	573	3	10	9	2	ybt 10; ICEKp4
529	8	7	9	6	5	446	1	6	7	7	6	ybt 2; ICEKp1
530	143	15	121	129	11	245	325	2	11	4	2	ybt 16; ICEKp12
531	5	19	6	5	1	491	563	9	5	5	21	ybt 9; ICEKp3
532	4	4	18	4	1	476	25	2	4	4	2	ybt 14; ICEKp5
533	133	61	171	68	1	457	545	131	107	155	288	ybt 0; ICEKp?
534	145	13	1	1	1	23	20	1	1	1	13	ybt 12; ICEKp10
535	4	4	18	4	1	27	576	2	4	4	2	ybt 14; ICEKp5
536	23	27	30	18	13	65	61	9	18	26	299	ybt 4; plasmid
537	8	7	9	6	5	13	587	6	7	7	6	ybt 2; ICEKp1
538	144	15	199	4	11	468	572	2	11	4	2	ybt 16; ICEKp12
539	22	22	6	24	16	493	51	9	17	5	30	ybt 6; ICEKp5
540	124	27	30	18	13	65	599	9	18	26	35	ybt 4; plasmid
541	135	154	203	177	1	503	586	134	110	5	294	ybt 0; ICEKp5
542	6	15	22	4	1	37	593	14	1	4	17	ybt 15; ICEKp11
543	54	142	176	77	98	478	584	33	116	48	275	ybt 28; ICEKp6
544	136	151	110	178	99	459	547	131	111	156	295	ybt 0; ICEKp21
545	18	27	30	18	44	451	154	9	8	26	35	ybt 4; plasmid
546	5	11	6	171	1	494	603	9	5	5	11	ybt 9; ICEKp3
547	5	11	6	98	63	16	210	9	5	5	97	ybt 9; ICEKp3
548	6	62	200	4	1	441	553	2	39	4	2	ybt 27; ICEKp22
549	18	20	143	18	13	81	38	9	8	152	35	ybt 4; plasmid
550	6	15	5	168	11	367	429	2	11	4	2	ybt 16; ICEKp?
551	4	4	18	4	1	27	578	2	4	4	2	ybt 14; ICEKp5
552	10	8	10	7	18	98	115	136	8	166	19	ybt 5; ICEKp6
553	4	4	18	169	1	513	25	2	4	4	177	ybt 14; ICEKp5
554	5	11	6	5	1	508	616	9	29	5	11	ybt 8; ICEKp9
555	3	144	4	11	3	83	18	3	10	16	2	ybt 10; ICEKp4
556	4	4	18	4	1	27	579	2	4	4	2	ybt 14; ICEKp5
557	2	2	2	2	2	497	604	2	2	2	2	ybt 1; ICEKp10
558	44	61	58	65	40	242	548	45	38	63	66	ybt 26; ICEKp18
559	4	4	18	169	1	477	25	2	4	4	2	ybt 14; ICEKp5
560	22	22	6	24	16	53	51	9	17	5	296	ybt 6; ICEKp5
561	4	150	5	4	64	27	251	95	115	4	2	ybt 14; ICEKp12
562	131	152	61	68	43	449	556	48	8	5	304	ybt 19; ICEKp16
563	10	8	10	7	18	489	612	7	8	5	301	ybt 5; ICEKp?
564	3	12	4	3	3	85	248	3	10	42	2	ybt 10; ICEKp4
565	30	34	37	44	47	426	393	25	83	45	49	ybt 4; plasmid
566	5	63	182	174	72	450	555	9	8	162	276	ybt 19; ICEKp16
567	4	4	5	4	1	69	191	2	4	95	20	ybt 14; ICEKp5
568	22	22	206	24	16	53	51	9	17	5	297	ybt 6; ICEKp5
569	4	4	18	4	1	27	577	2	4	4	2	ybt 14; ICEKp5
570	8	7	9	6	5	445	1	6	7	7	6	ybt 2; ICEKp1
571	3	12	4	11	3	21	18	3	10	16	150	ybt 10; ICEKp4
572	122	147	191	166	22	501	611	21	22	154	34	ybt 23; ICEKp14
573	4	4	5	4	1	69	62	2	4	158	20	ybt 14; ICEKp5
574	4	4	18	4	1	474	25	2	4	4	2	ybt 14; ICEKp5
575	21	21	195	170	67	86	606	17	1	5	29	ybt 18; ICEKp15
576	4	4	5	4	95	496	62	2	4	4	20	ybt 14; ICEKp5
577	142	15	5	4	11	346	570	2	11	4	210	ybt 16; ICEKp12
578	6	62	60	4	1	145	551	2	39	69	54	ybt 27; ICEKp22
579	4	4	18	4	1	475	25	2	4	4	2	ybt 14; ICEKp5
580	6	15	25	4	11	371	319	72	14	4	2	ybt 0; ICEKp10
581	5	19	26	5	1	378	53	9	5	5	21	ybt 9; ICEKp3
582	5	19	26	181	1	378	53	9	5	5	21	ybt 9; ICEKp3
583	5	19	26	5	1	378	53	9	5	179	21	ybt 9; ICEKp3
584	5	11	6	5	1	25	318	9	5	123	11	ybt 9; ICEKp?
585	16	156	4	3	3	35	33	3	10	9	2	ybt 10; ICEKp4
586	4	4	5	4	1	27	251	95	4	4	2	ybt 14; ICEKp12
587	6	15	5	4	11	33	629	2	11	4	2	ybt 16; ICEKp12
588	6	15	5	4	11	525	629	2	11	4	2	ybt 16; ICEKp12
589	6	15	5	4	11	33	629	2	11	4	316	ybt 16; ICEKp12
590	6	15	216	4	11	286	304	2	11	4	2	ybt 16; ICEKp12
591	5	157	6	5	1	526	37	9	5	180	11	ybt 9; ICEKp3
592	5	11	6	5	1	527	15	9	5	5	205	ybt 9; ICEKp3
593	6	15	217	4	11	528	629	2	11	4	2	ybt 16; ICEKp12
594	6	15	5	4	11	28	630	2	11	4	2	ybt 0; ICEKp10
595	4	4	5	4	1	275	328	2	4	4	2	ybt 14; ICEKp5
596	22	22	6	24	16	531	634	9	17	5	30	ybt 6; ICEKp5
597	6	15	5	182	109	530	633	2	11	4	2	ybt 16; ICEKp12
598	4	4	5	4	1	131	632	41	4	4	2	ybt 14; ICEKp5
599	6	15	5	4	11	529	631	2	11	4	2	ybt 0; ICEKp10
600	149	15	5	4	11	245	435	2	11	4	2	ybt 16; ICEKp12
