Sample_Name	dataset	country	year	source	sample_type	sample	infectionStatus	strain	lineage	CG_name	ST_Jul22	YBT	CLB	IRO	IUC	Ybt_insertion	YbST	ICEKp	KpZM	YBT_lineage	CLB_lineage	clbJ/K_fusion	transposase
SRR1561249	Bowers et al. 	Italy	2009	human	unknown	unknown	unknown	Italy-Palermo-2009e	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561251	Bowers et al. 	Italy	2009	human	unknown	unknown	unknown	Italy-Palermo-2009g	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561252	Bowers et al. 	Italy	2009	human	unknown	unknown	unknown	Italy-Palermo-2009h	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561253	Bowers et al. 	Italy	2009	human	unknown	unknown	unknown	Italy-Palermo-2009i	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561254	Bowers et al. 	Italy	2009	human	unknown	unknown	unknown	Italy-Palermo-2009j	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561255	Bowers et al. 	Italy	2009	human	unknown	unknown	unknown	Italy-Palermo-2009k	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561256	Bowers et al. 	Italy	2009	human	unknown	unknown	unknown	Italy-Palermo-2009l	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561257	Bowers et al. 	Italy	2010	human	unknown	unknown	unknown	Italy-Palermo-2010a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561258	Bowers et al. 	Italy	2010	human	unknown	unknown	unknown	Italy-Palermo-2010b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561259	Bowers et al. 	Italy	2010	human	unknown	unknown	unknown	Italy-Palermo-2010c	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561260	Bowers et al. 	Italy	2010	human	unknown	unknown	unknown	Italy-Palermo-2010d	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561261	Bowers et al. 	Italy	2010	human	unknown	unknown	unknown	Italy-Palermo-2010e	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561262	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561263	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561264	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011c	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561265	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011d	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561266	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011e	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561267	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011f	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561268	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011g	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561269	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011h	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561270	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011i	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561271	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-Palermo-2011j	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561276	Bowers et al. 	Poland	2008	human	unknown	unknown	unknown	Poland-2008	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561277	Bowers et al. 	Poland	2009	human	unknown	unknown	unknown	Poland-2009a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561278	Bowers et al. 	Poland	2009	human	unknown	unknown	unknown	Poland-2009b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561280	Bowers et al. 	Poland	2009	human	unknown	unknown	unknown	Poland-2009d	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561281	Bowers et al. 	Poland	2009	human	unknown	unknown	unknown	Poland-2009e	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561293	Bowers et al. 	USA	2006	human	unknown	unknown	unknown	US-AZ-2006a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561294	Bowers et al. 	USA	2006	human	unknown	unknown	unknown	US-AZ-2006b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561296	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-CA-2007b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561301	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-CO-2007	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561302	Bowers et al. 	USA	2006	human	unknown	unknown	unknown	US-DE-2006	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561305	Bowers et al. 	USA	2011	human	unknown	unknown	unknown	US-FL-2011	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561306	Bowers et al. 	USA	2006	human	unknown	unknown	unknown	US-GA-2006a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561308	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-GA-2007	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561309	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-GA-2009a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561311	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-GA-2009c	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561313	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-IL-2008a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561316	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-IL-2009b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561318	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-MA-2008	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561327	Bowers et al. 	USA	2003	human	unknown	unknown	unknown	US-NJ-2003	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561328	Bowers et al. 	USA	2004	human	unknown	unknown	unknown	US-NJ-2004a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561329	Bowers et al. 	USA	2004	human	unknown	unknown	unknown	US-NJ-2004b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561331	Bowers et al. 	USA	2006	human	unknown	unknown	unknown	US-NJ-2006	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561332	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-NJ-2007a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561333	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-NJ-2007b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561334	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-NM-2007	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561336	Bowers et al. 	USA	2004	human	unknown	unknown	unknown	US-NY-2004b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561339	Bowers et al. 	USA	2005	human	unknown	unknown	unknown	US-NY-2005a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561341	Bowers et al. 	USA	2005	human	unknown	unknown	unknown	US-NY-2005c	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561343	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-NY-2009a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561346	Bowers et al. 	USA	2010	human	unknown	unknown	unknown	US-NY-2010	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561347	Bowers et al. 	USA	2010	human	unknown	unknown	unknown	US-OR-2010	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561349	Bowers et al. 	USA	2005	human	unknown	unknown	unknown	US-PA-2005a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561350	Bowers et al. 	USA	2005	human	unknown	unknown	unknown	US-PA-2005b	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561351	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-PA-2007	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561353	Bowers et al. 	USA	2011	human	unknown	unknown	unknown	US-PA-2011a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561355	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-RI-2008	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561360	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-VA-2008a	KpI	CG258	258	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561215	Bowers et al. 	Colombia	2009	human	unknown	unknown	unknown	Colombia-2009a	KpI	CG258	258	ybt	clb	-	-	4	265	ICEKp10	present	17	3	no	no
SRR1561216	Bowers et al. 	Colombia	2009	human	unknown	unknown	unknown	Colombia-2009b	KpI	CG258	258	ybt	clb	-	-	4	265	ICEKp10	present	17	3	no	no
SRR1561223	Bowers et al. 	Greece	2008	human	unknown	unknown	unknown	Greece-2008	KpI	CG258	258	ybt	-	-	-	3	299	ICEKp2	absent	13	NA	NA	NA
SRR1561224	Bowers et al. 	Greece	2009	human	unknown	unknown	unknown	Greece-2009	KpI	CG258	258	ybt	-	-	-	4	298	ICEKp2	absent	13	NA	NA	NA
SRR1561241	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-2011a	KpI	CG258	258	ybt	-	-	-	4	299	ICEKp2	absent	13	NA	NA	NA
SRR1561242	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-2011b	KpI	CG258	258	ybt	-	-	-	4	299	ICEKp2	absent	13	NA	NA	NA
SRR1561303	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-DE-2007	KpI	CG258	258	ybt	clb	-	-	3	251	ICEKp10	present	17	3	no	no
SRR1561312	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-GA-2009d	KpI	CG258	258	ybt	clb	-	-	3	251	ICEKp10	present	17	3	yes	no
SRR1561315	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-IL-2009a	KpI	CG258	258	ybt	clb	-	-	4	291	ICEKp10	present	17	3	no	no
SRR1561317	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-MA-2007	KpI	CG258	258	ybt	clb	-	-	3/2?	247	ICEKp10	present	17	3	yes	no
SRR1561325	Bowers et al. 	USA	2011	human	unknown	unknown	unknown	US-ND-2011	KpI	CG258	258	ybt	clb	-	-	3	251	ICEKp10	present	17	3	yes	yes - clbB
SRR1561326	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-NH-2008	KpI	CG258	258	ybt	clb	-	-	?	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED
SRR1561330	Bowers et al. 	USA	2005	human	unknown	unknown	unknown	US-NJ-2005	KpI	CG258	258	ybt	clb	-	-	2/3?	271	ICEKp10	present	17	3	no	no
SRR1561342	Bowers et al. 	USA	2005	human	unknown	unknown	unknown	US-NY-2005d	KpI	CG258	258	ybt	clb	-	-	4	226	ICEKp10	present	17	3	no	no
SRR1561344	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-NY-2009b	KpI	CG258	258	ybt	-	-	-	4	299	ICEKp2	absent	13	NA	NA	NA
SRR1561345	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-NY-2009c	KpI	CG258	258	ybt	clb	-	-	4	289	ICEKp10	present	17	3	no	no
SRR1561352	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-PA-2008	KpI	CG258	258	ybt	clb	-	-	4	293	ICEKp10	present	17	3	?	?
SRR1561354	Bowers et al. 	USA	2011	human	unknown	unknown	unknown	US-PA-2011b	KpI	CG258	258	ybt	clb	-	-	4	292	ICEKp10	present	17	3	?	?
SRR1561356	Bowers et al. 	USA	2012	human	unknown	unknown	unknown	US-SD-2012	KpI	CG258	258	ybt	clb	-	-	3	251	ICEKp10	present	17	3	?	?
SRR1561363	Bowers et al. 	USA	2011	human	unknown	unknown	unknown	US-WV-2011a	KpI	CG258	258	ybt	clb	-	-	4	289	ICEKp10	present	17	3	no	no
SRR1561364	Bowers et al. 	USA	2011	human	unknown	unknown	unknown	US-WV-2011b	KpI	CG258	258	ybt	clb	-	-	4	289	ICEKp10	present	17	3	?	?
SRR1561236	Bowers et al. 	Israel	2007	human	unknown	unknown	unknown	Israel-2007b	KpI	n/a	277	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561348	Bowers et al. 	USA	2001	human	unknown	unknown	unknown	US-PA-2001	KpII	n/a	334	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561206	Bowers et al. 	Brazil	2010	human	unknown	unknown	unknown	Brazil-2010a	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561207	Bowers et al. 	Brazil	2010	human	unknown	unknown	unknown	Brazil-2010b	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561237	Bowers et al. 	Israel	2007	human	unknown	unknown	unknown	Israel-2007c	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561287	Bowers et al. 	Thailand	2008	human	unknown	unknown	unknown	Thailand-2008d	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561289	Bowers et al. 	Thailand	2008	human	unknown	unknown	unknown	Thailand-2008f	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561290	Bowers et al. 	Thailand	2008	human	unknown	unknown	unknown	Thailand-2008g	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561291	Bowers et al. 	Thailand	2008	human	unknown	unknown	unknown	Thailand-2008h	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561292	Bowers et al. 	Thailand	2008	human	unknown	unknown	unknown	Thailand-2008i	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561295	Bowers et al. 	USA	2007	human	unknown	unknown	unknown	US-CA-2007a	KpI	CG258	340	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561238	Bowers et al. 	Israel	2007	human	unknown	unknown	unknown	Israel-2007d	KpI	n/a	376	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561202	Bowers et al. 	Brazil	2008	human	unknown	unknown	unknown	Brazil-2008a	KpI	CG258	437	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561203	Bowers et al. 	Brazil	2008	human	unknown	unknown	unknown	Brazil-2008b	KpI	CG258	437	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561205	Bowers et al. 	Brazil	2009	human	unknown	unknown	unknown	Brazil-2009b	KpI	CG258	437	-	-	-	iucBC	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561232	Bowers et al. 	India	2008	human	unknown	unknown	unknown	India-2008b	KpI	CG258	437	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561233	Bowers et al. 	India	2008	human	unknown	unknown	unknown	India-2008c	KpI	CG258	437	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561211	Bowers et al. 	Canada	2009	human	unknown	unknown	unknown	Canada-2009a	KpI	CG258	512	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561243	Bowers et al. 	Italy	2011	human	unknown	unknown	unknown	Italy-2011c	KpI	CG258	512	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561361	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-VA-2008b	KpI	n/a	719	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561297	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-CA-2008	KpI	CG258	833	-	-	-	iucBC	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561209	Bowers et al. 	Brazil	2010	human	unknown	unknown	unknown	Brazil-2010d	KpI	CG258	855	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561208	Bowers et al. 	Brazil	2010	human	unknown	unknown	unknown	Brazil-2010c	KpI	CG258	855	ybt	-	-	-	3	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED
SRR1561198	Bowers et al. 	Australia	2010	human	unknown	unknown	unknown	Australia-2010	KpI	CG258	1199	ybt	-	-	-	4	299	ICEKp2	absent	13	NA	NA	NA
SRR1561357	Bowers et al. 	USA	2001	human	unknown	unknown	unknown	US-TX-2001	KpI	n/a	1978	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561304	Bowers et al. 	USA	2008	human	unknown	unknown	unknown	US-FL-2008	KpI	n/a	5098	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561310	Bowers et al. 	USA	2009	human	unknown	unknown	unknown	US-GA-2009b	KpIII	n/a	5099	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561337	Bowers et al. 	USA	2004	human	unknown	unknown	unknown	US-NY-2004c	KpI	n/a	5100	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR1561214	Bowers et al. 	Canada	2009	human	unknown	unknown	unknown	Canada-2009d	KpI	n/a	5101	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349784	Chung et al. 	Nepal	2012	human	rectal swab	intestinal	carriage	209	KpI	n/a	1	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349806	Chung et al. 	Nepal	2012	human	urine	urine	infection	321	KpI	n/a	1	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349854	Chung et al. 	Nepal	2012	human	urine	urine	infection	599	KpI	CG540	4	ybt	-	-	-	4	188	ICEKp3	absent	9	NA	NA	NA
ERR349822	Chung et al. 	Nepal	2012	human	urine	urine	infection	448	KpI	CG258	11	ybt	-	-	-	3	183	ICEKp3	absent	9	NA	NA	NA
ERR349789	Chung et al. 	Nepal	2012	human	Umbilical pus	abscess_pus	infection	230	KpI	CG14/15	14	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349791	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	237	KpI	CG14/15	14	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349756	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	94	KpI	CG14/15	14	ybt	-	-	-	1	190	ICEKp3	absent	9	NA	NA	NA
ERR349803	Chung et al. 	Nepal	2012	human	Pus	abscess_pus	infection	305	KpI	CG14/15	15	ybt	-	-	-	1	277	ICEKp12	present	16	NA	NA	NA
ERR349826	Chung et al. 	Nepal	2012	human	Pus	abscess_pus	infection	486	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349752	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	80	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349753	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	81	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349754	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	86	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349755	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	93	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349763	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	120	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349764	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	126	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349767	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	132	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349808	Chung et al. 	Nepal	2012	human	Catheter tip	catheter	unknown	352	KpI	CG14/15	15	ybt	-	-	-	1	23	ICEKp4	absent	10	NA	NA	NA
ERR349774	Chung et al. 	Nepal	2012	human	rectal swab	intestinal	carriage	157	KpI	CG14/15	15	ybt	-	-	-	1	325	ICEKp4	absent	10	NA	NA	NA
ERR349824	Chung et al. 	Nepal	2012	human	sputum	respiratory	infection	482	KpI	CG14/15	15	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349775	Chung et al. 	Nepal	2012	human	ET Tip	respiratory	unknown	159	KpI	CG14/15	15	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349759	Chung et al. 	Nepal	2012	human	sputum	respiratory	infection	108	KpI	CG14/15	15	ybt	-	-	-	1	277	ICEKp12	present	16	NA	NA	NA
ERR349766	Chung et al. 	Nepal	2012	human	sputum	respiratory	infection	131	KpI	CG14/15	15	ybt	-	-	-	1	277	ICEKp12	present	16	NA	NA	NA
ERR349757	Chung et al. 	Nepal	2012	human	tracheal aspirate	respiratory	infection	98	KpI	CG14/15	15	ybt	-	-	-	1	277	ICEKp12	present	16	NA	NA	NA
ERR349823	Chung et al. 	Nepal	2012	human	ET Secreation	respiratory	unknown	458	KpI	CG14/15	15	ybt	-	-	-	1	277	ICEKp12	present	16	NA	NA	NA
ERR349748	Chung et al. 	Nepal	2012	human	ET Tip	respiratory	unknown	24	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349751	Chung et al. 	Nepal	2012	human	ET Tip	respiratory	unknown	72	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349825	Chung et al. 	Nepal	2012	human	ET Tip	respiratory	unknown	484	KpI	CG14/15	15	ybt	-	-	-	1	277	ICEKp12	present	16	NA	NA	NA
ERR349844	Chung et al. 	Nepal	2012	human	ET Tip	respiratory	unknown	567	KpI	CG14/15	15	ybt	-	-	-	1	277	ICEKp12	present	16	NA	NA	NA
ERR349819	Chung et al. 	Nepal	2012	human	Folyes tip	unknown	unknown	435	KpI	CG14/15	15	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349749	Chung et al. 	Nepal	2012	human	urine	urine	infection	50	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349765	Chung et al. 	Nepal	2012	human	urine	urine	infection	127	KpI	CG14/15	15	ybt	-	-	-	1	290	ICEKp12	present	16	NA	NA	NA
ERR349812	Chung et al. 	Nepal	2012	human	urine	urine	infection	412	KpI	CG14/15	15	ybt	-	-	-	3	17	ICEKp4	absent	10	NA	NA	NA
ERR349828	Chung et al. 	Nepal	2012	human	urine	urine	infection	501	KpI	CG14/15	15	ybt	-	-	-	1	228	ICEKp12	present	16	NA	NA	NA
ERR349800	Chung et al. 	Nepal	2012	human	ET Secreation	respiratory	unknown	283	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349799	Chung et al. 	Nepal	2012	human	ET Tip	respiratory	unknown	281	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349816	Chung et al. 	Nepal	2012	human	urine	urine	infection	426	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349853	Chung et al. 	Nepal	2012	human	urine	urine	infection	588	KpI	CG25	25	ybt	-	-	-	?	149	ICEKp5	present	14	NA	NA	NA
ERR349820	Chung et al. 	Nepal	2012	human	ET Tip	respiratory	unknown	441	KpI	CG29	29	ybt	-	-	-	1	151	ICEKp5	absent	14	NA	NA	NA
ERR349842	Chung et al. 	Nepal	2012	human	urine	urine	infection	550	KpI	CG29	29	ybt	-	-	-	1	304	ICEKp2	absent	13	NA	NA	NA
ERR349807	Chung et al. 	Nepal	2012	human	tissue	tissue	infection	329	KpI	CG35	35	ybt	-	-	-	4	187	ICEKp3	absent	9	NA	NA	NA
ERR349798	Chung et al. 	Nepal	2012	human	sputum	respiratory	infection	276	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349747	Chung et al. 	Nepal	2012	human	urine	urine	infection	16	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349785	Chung et al. 	Nepal	2012	human	sputum	respiratory	infection	212	KpI	CG45	45	ybt	-	-	-	1	78	ICEKp4	absent	10	NA	NA	NA
ERR349777	Chung et al. 	Nepal	2012	human	sputum	respiratory	infection	170	KpI	CG147	147	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR349795	Chung et al. 	Nepal	2012	human	Umbilical pus	abscess_pus	infection	270	KpI	CG152	152	ybt	-	-	-	3	161	?	?	no lineage	NA	NA	NA
ERR349821	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	446	KpI	CG152	152	ybt	-	-	-	3	161	?	?	no lineage	NA	NA	NA
ERR349833	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	519	KpI	CG152	152	ybt	-	-	-	3	161	?	?	no lineage	NA	NA	NA
ERR349835	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	526	KpI	CG152	152	ybt	-	-	-	3	161	?	?	no lineage	NA	NA	NA
ERR349838	Chung et al. 	Nepal	2012	human	blood	blood_sterile	infection	539	KpI	CG152	152	ybt	-	-	-	3	161	?	?	no lineage	NA	NA	NA
