assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename	strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
GCF_001033005.1	PRJNA224116	SAMN03280356	LEZA00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS215		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS215_V1	Broad Institute	GCA_001033005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/005/GCF_001033005.1_Kleb_pneu_CHS215_V1	./refseq/bacteria/GCF_001033005.1/GCF_001033005.1_Kleb_pneu_CHS215_V1_genomic.fna.gz	GCF_001033005.1_Kleb_pneu_CHS215_V1_genomic.fna	7	3521366	3521366	ST258	3	2	7	14	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;Aph3-Ia*;StrB;StrA*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA;MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*	KPC-3	-	-	-	-
GCF_001033015.1	PRJNA224116	SAMN03280357	LEZB00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS216		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS216_V1	Broad Institute	GCA_001033015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/015/GCF_001033015.1_Kleb_pneu_CHS216_V1	./refseq/bacteria/GCF_001033015.1/GCF_001033015.1_Kleb_pneu_CHS216_V1_genomic.fna.gz	GCF_001033015.1_Kleb_pneu_CHS216_V1_genomic.fna	9	1794384	2086499	ST258	3	2	8	14	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;StrB;Aph3-Ia*;StrA*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*	KPC-3	SHV-12	-	-	-
GCF_001033045.1	PRJNA224116	SAMN03280358	LEZC00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS217		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS217_V1	Broad Institute	GCA_001033045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/045/GCF_001033045.1_Kleb_pneu_CHS217_V1	./refseq/bacteria/GCF_001033045.1/GCF_001033045.1_Kleb_pneu_CHS217_V1_genomic.fna.gz	GCF_001033045.1_Kleb_pneu_CHS217_V1_genomic.fna	12	1440955	1516256	ST258	3	2	9	19	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	Aac6-Ib*;Aph3-Ia*;AadA2;AadA2*;StrB;StrA*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulI;SulII	-	DfrA12;DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	SHV-12	-	SHV-11	-
GCF_001033055.1	PRJNA224116	SAMN03280359	LEZD00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS218		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS218_V1	Broad Institute	GCA_001033055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/055/GCF_001033055.1_Kleb_pneu_CHS218_V1	./refseq/bacteria/GCF_001033055.1/GCF_001033055.1_Kleb_pneu_CHS218_V1_genomic.fna.gz	GCF_001033055.1_Kleb_pneu_CHS218_V1_genomic.fna	8	3480421	3480421	ST258	3	2	8	14	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;StrB;Aph3-Ia*;StrA*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*	KPC-3	SHV-12	-	-	-
GCF_001033085.1	PRJNA224116	SAMN03280360	LEZE00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS219		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS219_V1	Broad Institute	GCA_001033085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/085/GCF_001033085.1_Kleb_pneu_CHS219_V1	./refseq/bacteria/GCF_001033085.1/GCF_001033085.1_Kleb_pneu_CHS219_V1_genomic.fna.gz	GCF_001033085.1_Kleb_pneu_CHS219_V1_genomic.fna	4	5570251	5570251	ST258	3	2	9	15	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;StrB;Aph3-Ia*;StrA*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*	KPC-3	SHV-12	-	SHV-11	-
GCF_001033095.1	PRJNA224116	SAMN03280361	LEZF00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS220		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS220_V1	Broad Institute	GCA_001033095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/095/GCF_001033095.1_Kleb_pneu_CHS220_V1	./refseq/bacteria/GCF_001033095.1/GCF_001033095.1_Kleb_pneu_CHS220_V1_genomic.fna.gz	GCF_001033095.1_Kleb_pneu_CHS220_V1_genomic.fna	13	1860273	2292320	ST258	3	2	9	18	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	StrB;StrA*;AadA2;AadA1-pm*?;Aac6-Ib;Aph3-Ia*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	TEM-150*;AmpH*;TEM-150*;OXA-9	KPC-3;KPC-3;KPC-3	SHV-12	-	SHV-11	-
GCF_001033125.1	PRJNA224116	SAMN03280362	LEZG00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS221		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS221_V1	Broad Institute	GCA_001033125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/125/GCF_001033125.1_Kleb_pneu_CHS221_V1	./refseq/bacteria/GCF_001033125.1/GCF_001033125.1_Kleb_pneu_CHS221_V1_genomic.fna.gz	GCF_001033125.1_Kleb_pneu_CHS221_V1_genomic.fna	7	4331099	4331099	ST258	3	2	6	11	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;StrB;AadA1-pm*?;StrA*?	-	-	ParC-80I;GyrA-83I	-	-	-	-	SulI;SulII	-	DfrA14	AmpH*;OXA-9	KPC-3	SHV-12	-	-	-
GCF_001033135.1	PRJNA224116	SAMN03280363	LEZH00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS223		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS223_V1	Broad Institute	GCA_001033135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/135/GCF_001033135.1_Kleb_pneu_CHS223_V1	./refseq/bacteria/GCF_001033135.1/GCF_001033135.1_Kleb_pneu_CHS223_V1_genomic.fna.gz	GCF_001033135.1_Kleb_pneu_CHS223_V1_genomic.fna	8	3422617	3422617	ST258	3	2	6	11	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	Aac6-Ib;StrB;StrA*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	-	-	-	SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	-	-	SHV-11	-
GCF_001033165.1	PRJNA224116	SAMN03280364	LEZI00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS224		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS224_V1	Broad Institute	GCA_001033165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/165/GCF_001033165.1_Kleb_pneu_CHS224_V1	./refseq/bacteria/GCF_001033165.1/GCF_001033165.1_Kleb_pneu_CHS224_V1_genomic.fna.gz	GCF_001033165.1_Kleb_pneu_CHS224_V1_genomic.fna	9	3530008	3530008	ST258	3	2	9	18	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;StrB;Aph3-Ia*;StrA*;AadA1-pm*?;Aac6-Ib;Aac6-Ib*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14;DfrA14	AmpH*;OXA-9	KPC-3	SHV-12*	-	SHV-11*	-
GCF_001033175.1	PRJNA224116	SAMN03280365	LEZJ00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS225		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS225_V1	Broad Institute	GCA_001033175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/175/GCF_001033175.1_Kleb_pneu_CHS225_V1	./refseq/bacteria/GCF_001033175.1/GCF_001033175.1_Kleb_pneu_CHS225_V1_genomic.fna.gz	GCF_001033175.1_Kleb_pneu_CHS225_V1_genomic.fna	5	3530979	3530979	ST258	3	2	9	20	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	Aph3-Ia*;AadA2;AadA2*;Aac6-Ib;Aac6-Ib;StrB;StrA*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA12;DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	SHV-12	-	SHV-11	-
GCF_001033205.1	PRJNA224116	SAMN03280366	LEZK00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS226		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS226_V1	Broad Institute	GCA_001033205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/205/GCF_001033205.1_Kleb_pneu_CHS226_V1	./refseq/bacteria/GCF_001033205.1/GCF_001033205.1_Kleb_pneu_CHS226_V1_genomic.fna.gz	GCF_001033205.1_Kleb_pneu_CHS226_V1_genomic.fna	5	5439308	5439308	ST258	3	2	6	15	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;Aac6-Ib;Aac6-Ib;StrB;StrA*;AadA1-pm*?	-	-	ParC-80I;GyrA-83I	-	-	-	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3;KPC-3;KPC-3	-	-	SHV-11	-
GCF_001033215.1	PRJNA224116	SAMN03280368	LEZL00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS228		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS228_V1	Broad Institute	GCA_001033215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/215/GCF_001033215.1_Kleb_pneu_CHS228_V1	./refseq/bacteria/GCF_001033215.1/GCF_001033215.1_Kleb_pneu_CHS228_V1_genomic.fna.gz	GCF_001033215.1_Kleb_pneu_CHS228_V1_genomic.fna	8	2996943	2996943	ST258	3	2	8	24	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	Aac6-Ib;Aph3-Ia*;Aph3-Ia*;Aph3-Ia*;AadA2;AadA2*;Aac6-Ib*;StrB;Aph3-Ia*;StrA*;AadA1-pm*?;Aac6-Ib;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulI;SulII	-	DfrA12;DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	-	-	-	SHV-107*
GCF_001033245.1	PRJNA224116	SAMN03280369	LEZM00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS229		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS229_V1	Broad Institute	GCA_001033245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/245/GCF_001033245.1_Kleb_pneu_CHS229_V1	./refseq/bacteria/GCF_001033245.1/GCF_001033245.1_Kleb_pneu_CHS229_V1_genomic.fna.gz	GCF_001033245.1_Kleb_pneu_CHS229_V1_genomic.fna	7	2988617	2988617	ST11	0	1	8	12	-	0	-	0	-	-	-	wzi177	KL125 (KL114)	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80I;GyrA-83I;GyrA-87Y	-	MphA	CatA2*;CatB4	-	SulI	TetA;TetR	DfrA12	AmpH*;OXA-9;TEM-150*;OXA-1	-	SHV-12	-	-	-
GCF_001033255.1	PRJNA224116	SAMN03280370	LEZN00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS230		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS230_V1	Broad Institute	GCA_001033255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/255/GCF_001033255.1_Kleb_pneu_CHS230_V1	./refseq/bacteria/GCF_001033255.1/GCF_001033255.1_Kleb_pneu_CHS230_V1_genomic.fna.gz	GCF_001033255.1_Kleb_pneu_CHS230_V1_genomic.fna	9	3528100	3528100	ST258	3	2	9	20	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2*;Aac6-Ib;Aac6-Ib*;StrB;StrA*;AadA2;Aph3-Ia*;Aph3-Ia*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulI;SulII	-	DfrA12;DfrA14	AmpH*;TEM-150*	KPC-3	SHV-12*	-	SHV-11*	-
GCF_001033285.1	PRJNA224116	SAMN03280371	LEZO00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS231		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS231_V1	Broad Institute	GCA_001033285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/285/GCF_001033285.1_Kleb_pneu_CHS231_V1	./refseq/bacteria/GCF_001033285.1/GCF_001033285.1_Kleb_pneu_CHS231_V1_genomic.fna.gz	GCF_001033285.1_Kleb_pneu_CHS231_V1_genomic.fna	8	4859566	4859566	ST258	3	2	9	16	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;Aph3-Ia*;StrB;StrA*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	SHV-12	-	SHV-11	-
GCF_001033295.1	PRJNA224116	SAMN03280372	LEZP00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS232		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS232_V1	Broad Institute	GCA_001033295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/295/GCF_001033295.1_Kleb_pneu_CHS232_V1	./refseq/bacteria/GCF_001033295.1/GCF_001033295.1_Kleb_pneu_CHS232_V1_genomic.fna.gz	GCF_001033295.1_Kleb_pneu_CHS232_V1_genomic.fna	8	3525909	3525909	ST258	3	2	9	16	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;Aph3-Ia*;StrB;StrA*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	SHV-12	-	SHV-11	-
GCF_001033305.1	PRJNA224116	SAMN03280374	LEZQ00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS234		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS234_V1	Broad Institute	GCA_001033305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/305/GCF_001033305.1_Kleb_pneu_CHS234_V1	./refseq/bacteria/GCF_001033305.1/GCF_001033305.1_Kleb_pneu_CHS234_V1_genomic.fna.gz	GCF_001033305.1_Kleb_pneu_CHS234_V1_genomic.fna	16	847348	1450709	ST258	0	2	9	16	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;Aph3-Ia*;StrB;StrA*;AadA1-pm*?;Aac6-Ib*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	SHV-12	-	SHV-11	-
GCF_001033335.1	PRJNA224116	SAMN03280375	LEZR00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS235		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS235_V1	Broad Institute	GCA_001033335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/335/GCF_001033335.1_Kleb_pneu_CHS235_V1	./refseq/bacteria/GCF_001033335.1/GCF_001033335.1_Kleb_pneu_CHS235_V1_genomic.fna.gz	GCF_001033335.1_Kleb_pneu_CHS235_V1_genomic.fna	4	3369353	3369353	ST258	3	2	6	13	ybt 17; ICEKp10	260	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	72	78	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	Aac6-Ib;AadA2;StrB;StrA*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	-	-	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	-	-	SHV-11	-
GCF_001033365.1	PRJNA224116	SAMN03280376	LEZS00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS236		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS236_V1	Broad Institute	GCA_001033365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/365/GCF_001033365.1_Kleb_pneu_CHS236_V1	./refseq/bacteria/GCF_001033365.1/GCF_001033365.1_Kleb_pneu_CHS236_V1_genomic.fna.gz	GCF_001033365.1_Kleb_pneu_CHS236_V1_genomic.fna	8	3537535	3537535	ST258	3	2	9	17	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;Aac6-Ib;StrB;StrA*;AadA1-pm*?;Aac6-Ib*;Aph3-Ia*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	SHV-12	-	SHV-11	-
GCF_001033375.1	PRJNA224116	SAMN03280377	LEZT00000000.1	na	573	573	Klebsiella pneumoniae	strain=CHS237		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_CHS237_V1	Broad Institute	GCA_001033375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/375/GCF_001033375.1_Kleb_pneu_CHS237_V1	./refseq/bacteria/GCF_001033375.1/GCF_001033375.1_Kleb_pneu_CHS237_V1_genomic.fna.gz	GCF_001033375.1_Kleb_pneu_CHS237_V1_genomic.fna	15	1438100	1719617	ST258	3	2	9	16	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	9*	2	2	2	4	2	8	2	2	2	2	2	2	2	AadA2;Aph3-Ia*;StrB;StrA*;AadA1-pm*?;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI;SulII	-	DfrA14	AmpH*;TEM-150*;OXA-9	KPC-3	SHV-12	-	SHV-11	-
GCF_001033385.1	PRJNA224116	SAMN03280381	LEZU00000000.1	na	573	573	Klebsiella pneumoniae	strain=BWH53		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_BWH53_V1	Broad Institute	GCA_001033385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/385/GCF_001033385.1_Kleb_pneu_BWH53_V1	./refseq/bacteria/GCF_001033385.1/GCF_001033385.1_Kleb_pneu_BWH53_V1_genomic.fna.gz	GCF_001033385.1_Kleb_pneu_BWH53_V1_genomic.fna	9	1969068	2727603	ST258	3	2	5	8	ybt 17; ICEKp10	251	clb 3	62-1LV	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	10	2	2	2	4	2	8	2*	2	2	2	2	2	2	AadA1-pm*?;Aac6-Ib	-	-	QnrB5*;ParC-80I;GyrA-83I	-	-	-	-	-	-	-	AmpH*;TEM-150*	KPC-3	SHV-12	-	SHV-11	-
GCF_001033415.1	PRJNA224116	SAMN03280382	LEZV00000000.1	na	573	573	Klebsiella pneumoniae	strain=BWH58		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_BWH58_V1	Broad Institute	GCA_001033415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/415/GCF_001033415.1_Kleb_pneu_BWH58_V1	./refseq/bacteria/GCF_001033415.1/GCF_001033415.1_Kleb_pneu_BWH58_V1_genomic.fna.gz	GCF_001033415.1_Kleb_pneu_BWH58_V1_genomic.fna	10	4658983	4658983	ST16	0	2	9	14	-	0	-	0	-	-	-	wzi50	KL15 (KL17,KL51,KL52)	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*;AadA2*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	MphA	CatB4	-	SulI*	TetA;TetR	DfrA12	AmpH*;SHV-145*;TEM-105*;OXA-1	KPC-3	CTX-M-15;SHV-12	-	-	-
GCF_001033445.1	PRJNA224116	SAMN03280383	LEZW00000000.1	na	573	573	Klebsiella pneumoniae	strain=BWH62		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_BWH62_V1	Broad Institute	GCA_001033445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/445/GCF_001033445.1_Kleb_pneu_BWH62_V1	./refseq/bacteria/GCF_001033445.1/GCF_001033445.1_Kleb_pneu_BWH62_V1_genomic.fna.gz	GCF_001033445.1_Kleb_pneu_BWH62_V1_genomic.fna	5	4680334	4680334	ST25	2	1	2	2	-	0	-	0	iucABCD	iroBCDN	rmpA	wzi72	KL2	ST25	2	1	1	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83Y	-	-	-	-	-	-	-	AmpH*	-	SHV-40*	-	-	-
GCF_001033455.1	PRJNA224116	SAMN03280384	LEZX00000000.1	na	573	573	Klebsiella pneumoniae	strain=MGH81		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_MGH81_V1	Broad Institute	GCA_001033455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/455/GCF_001033455.1_Kleb_pneu_MGH81_V1	./refseq/bacteria/GCF_001033455.1/GCF_001033455.1_Kleb_pneu_MGH81_V1_genomic.fna.gz	GCF_001033455.1_Kleb_pneu_MGH81_V1_genomic.fna	120	170875	388272	ST15-1LV	1	1	8	15	ybt 10; ICEKp4	162	-	0	-	-	-	wzi24	KL24 (KL54,KL55)	ST15-1LV	1	1	1	1	1*	1	1	47	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-IIc	-	-	QnrB4;ParC-80I;GyrA-83F;GyrA-87A	-	-	FloR*;CmlA5	Arr2?	SulII	TetA;TetR;TetD	DfrA14	AmpH*;OXA-10	-	SHV-12*;CTX-M-15	-	-	-
GCF_001033465.1	PRJNA224116	SAMN03280385	LEZY00000000.1	na	573	573	Klebsiella pneumoniae	strain=MGH82		latest	Scaffold	Major	Full	2015/06/22	Kleb_pneu_MGH82_V1	Broad Institute	GCA_001033465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/033/465/GCF_001033465.1_Kleb_pneu_MGH82_V1	./refseq/bacteria/GCF_001033465.1/GCF_001033465.1_Kleb_pneu_MGH82_V1_genomic.fna.gz	GCF_001033465.1_Kleb_pneu_MGH82_V1_genomic.fna	5	3292921	3292921	ST37	0	0	1	2	-	0	-	0	-	-	-	wzi12	KL12	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-110*	-	-	-	-	-
