strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR486274	202	303441	708791	ST14	0	0	3	4	-	0	-	0	-	-	-	0	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB	-	-	ParC-80A;ParC-84N	-	-	-	-	SulII	-	-	AmpH*;TEM-105*	-	-	-	-	-
ERR486281	164	254967	736851	ST37	0	1	6	7	-	0	-	0	-	-	-	wzi96	KL38	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	GyrA-83Y	-	-	-	-	SulI	TetD	DfrA5	AmpH*;TEM-105*;TEM-105*	-	CTX-M-15;SHV-12?	-	-	-
ERR486283	322	114659	278405	ST42	0	1	8	12	-	0	-	0	-	-	-	wzi29	KL196	ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib;Aph3-Ia*	-	-	GyrA-83F;GyrA-87Y	-	MphA	CatA1*	-	SulI	TetA*;TetR	DfrA5	AmpH*;OXA-9*;TEM-150*	-	SHV-12	-	-	-
ERR486284	207	203779	457474	ST152	0	0	1	1	-	0	-	0	-	-	-	0	-	ST152	2	3	2	1	1	4	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83K	-	-	-	-	-	-	-	AmpH*;SHV-132*	-	-	-	-	-
ERR486285	217	243495	477406	ST14	0	0	3	5	-	0	-	0	-	-	-	0	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	ParC-80A;ParC-84N	-	-	-	-	SulII	-	-	AmpH*	-	-	-	-	-
ERR486288	199	173844	611519	ST163	0	0	0	0	-	0	-	0	-	-	-	wzi84	KL28	ST163	2	1	1	1	9	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-36	-	-	-	-	-
ERR486289	95	312158	771914	ST29	1	1	7	8	ybt unknown	0	-	0	-	-	-	wzi85	KL30	ST29	2	3	2	2	6	4	4	4	4	5*	4*	1	27	184*	2	4*	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	ParC-80A;ParC-84N	-	-	CatA1*	-	SulI	-	DfrA5	AmpH*;TEM-105*	-	CTX-M-3	-	SHV-83	-
ERR486290	198	207754	524908	ST42	0	1	8	13	-	0	-	0	-	-	-	wzi29	KL196	ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;AadA1-pm*?;Aac6-Ib	-	-	GyrA-83F;GyrA-87Y	-	MphA	CatA1*	-	SulI	TetA*;TetR;TetD	DfrA5	AmpH*;OXA-9*;TEM-105*?	-	SHV-12?	-	-	-
ERR486291	209	188623	502106	ST776	0	1	5	7	-	0	-	0	-	-	-	wzi206	KL57	ST776	2	1	2	1	2	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	CatA1*	-	SulI	-	DfrA5	AmpH*;TEM-105*	-	SHV-40*;CTX-M-26	-	-	-
ERR486292	110	297545	696596	ST237-1LV	0	1	1	1	-	0	-	0	-	-	-	wzi19	KL19	ST237-1LV	4	1	2	2	12	10	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-99*	-	-	-
ERR486294	119	339104	759812	ST363-1LV	0	0	1	2	-	0	-	0	-	-	-	wzi53	KL53	ST363-1LV	16	18	21	38	53	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	LEN-24*;AmpH*	-	-	-	-	-
ERR486298	81	856416	1208620	ST208-1LV	0	0	1	2	-	0	-	0	-	-	-	0	-	ST208-1LV	16	24	21	27	50	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	LEN-24*;AmpH*	-	-	-	-	-
ERR486299	239	266465	471919	ST2412-2LV	0	1	7	8	-	0	-	0	-	-	-	wzi422	KL126	ST2412-2LV	30*	18	21	49	47	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1	-	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;LEN-24*;OXA-9	-	SHV-12	-	-	TEM-122*
ERR486302	199	198166	444650	ST448	0	0	2	3	-	0	-	0	-	-	-	wzi115	KL54	ST448	49	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83R;GyrA-87G	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-83	-
ERR486305	221	204859	378685	ST20	1	0	1	1	ybt 14; ICEKp5	135	-	0	-	-	-	wzi84	KL28	ST20	2	3	1	1	4	4	4	4	4	18	4	1	27	25	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-83*	-
ERR486310	147	318106	634965	ST162-3LV	0	0	5	8	-	0	-	0	-	-	-	wzi46	KL61 (KL13)	ST162-3LV	2	1	1	97	12	7	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;AadA2*;Aph3-Ia*	-	-	-	-	MphA	-	-	SulI	TetA;TetR	DfrA12*	AmpH*;SHV-145*;SCO-1;TEM-105*	-	-	-	-	-
ERR486311	202	196749	428440	ST35	0	0	0	0	-	0	-	0	-	-	-	wzi39	KL39 (KL13)	ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-33;SHV-33;SHV-33;SHV-33;SHV-33	-	-	-	-	-
ERR486312	91	637879	1117270	ST1484-1LV	0	0	1	2	-	0	-	0	-	-	-	0	-	ST1484-1LV	94	22	25	22	32	13	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	OKP-B-9*;AmpH*	-	-	-	-	-
ERR486316	254	215571	474551	ST101	1	1	7	14	ybt 9; ICEKp3	183	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA1-pm*?;Aac6-Ib;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	-	CatA2*	-	SulII	TetD	DfrA14	AmpH*;TEM-150*;OXA-9	-	SHV-106*;CTX-M-15	-	-	-
ERR486321	167	275617	474550	ST101	1	1	6	10	ybt 9; ICEKp3	183	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib;Aac3-IIa*	-	-	GyrA-83Y;GyrA-87N	-	-	CatA2*	-	-	TetD	DfrA14	AmpH*;TEM-150*;OXA-9	-	SHV-106*;CTX-M-15	-	-	-
ERR486322	66	657392	1435528	ST426-2LV	0	0	1	2	-	0	-	0	-	-	-	0	-	ST426-2LV	18	15	18	16	11	94	50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	OKP-B-16*?;AmpH*	-	-	-	-	-
ERR486323	175	249928	812976	ST11	0	1	9	17	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac3-IIa*;Aph3-Ia*;AadA2*?	-	-	ParC-80A;ParC-84N	-	MphA	CmlA1*;CatB4?;CatA1*	-	SulI;SulIII	TetA;TetR	DfrA12	AmpH*;OXA-1;TEM-105*	-	CTX-M-15	-	SHV-11	-
ERR486326	375	196957	499142	ST1967	0	0	7	14	-	0	-	0	-	-	-	0	-	ST1967	2	3	6	1	9	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;AadA2;StrA*;AadA1-pm*?;Aph3-Ia*	-	-	ParC-80A;ParC-84N	-	-	CatA2*	-	SulI	TetA;TetR	DfrA15b*;DfrA1	AmpH*;TEM-105*	-	-	-	-	SHV-26
ERR486328	185	156191	566464	ST147	0	0	1	2	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	SHV-67*;AmpH*	-	-	-	-	-
ERR486332	174	345579	652613	ST384	0	1	4	9	-	0	-	0	-	-	-	0	-	ST384	18	23	56	63	80	43	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-A1;Qnr-A1;ParC-80A	-	-	CmlA5*?;CmlA5*?	-	SulI;SulI;SulI	-	-	OKP-B-3*;AmpH*	-	SHV-12	-	-	-
ERR486333	86	491425	757750	ST405	1	0	0	0	ybt 0; ICE?	160-1LV	-	0	-	-	-	wzi143	KL151	ST405	2	1	62	3	10	4	110	44	61	58	65	40	138*	140	45	38	63	66	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-76	-	-	-	-	-
ERR486334	186	248539	522359	ST231	0	0	5	9	-	0	-	0	-	-	-	wzi104	KL51	ST231	2	6	1	3	26	1	77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadB*;AadA1-pm*?;Aac3-IId*?	-	-	ParC-80A;ParC-84N	-	-	-	-	SulI*;SulII	TetD	DfrA15b*	AmpH*;OXA-10;TEM-104?	-	-	-	-	-
ERR486335	132	330297	822794	ST1	0	1	8	12	-	0	-	0	-	-	-	wzi45	KL45	ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;Aac3-IIa*	-	-	GyrA-83I	-	-	CatB4?;CatA2*	-	SulII	TetA;TetR	DfrA12	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-1*?	-
ERR486336	75	520451	1456231	ST490	0	0	1	1	-	0	-	0	-	-	-	wzi59	KL3	ST490	4	1	1	1	21	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83Y	-	-	-	-	-	-	-	SHV-59*;AmpH*	-	-	-	-	-
ERR486337	149	239432	693897	ST874-1LV	0	1	6	9	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac3-IIa*	-	-	-	-	MphA	-	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*	-	CTX-M-15	-	-	-
ERR486343	86	391526	1063944	ST17	1	0	2	4	ybt 14; ICEKp5?	131-4LV	-	0	-	-	-	wzi141	KL25	ST17	2	1	1	1	4	4	4	4	4	5	4	1	27	184*	2*	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph2-Ib*;Aac6-Im	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	-	-	-	-
ERR486345	112	348085	933038	ST2410-1LV	0	1	4	6	-	0	-	0	-	-	-	wzi10	KL10	ST2410-1LV	4	1	13	2	10	44	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	CatB4?	-	-	TetA;TetR	-	SHV-133;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486346	119	250035	862167	ST1	0	0	6	12	-	0	-	0	-	-	-	wzi45	KL45	ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*;Aac3-IId*;Aph3-Ia*	-	-	ParC-80A;ParC-84N	-	-	FloR*;CmlA5	Arr2	SulII;SulI?	-	DfrA14;DfrA25	AmpH*;SHV-132*;OXA-10	-	-	-	-	-
ERR486347	177	204829	520933	ST264-2LV	0	0	1	2	-	0	-	0	-	-	-	0	-	ST264-2LV	16	24	21	27	82*	22	80*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR486349	153	270181	1125803	ST874-1LV	0	1	8	15	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486350	131	243537	785225	ST14	1	0	2	2	ybt 10; ICEKp4	106	-	0	-	-	-	wzi16	KL16 (KL143)	ST14	1	6	1	1	1	1	1	3	3	4	3	3	7	7	3	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	CatA1*	-	-	-	-	AmpH*	-	-	-	SHV-1*?	-
ERR486351	103	362492	945561	ST357-1LV	0	0	0	0	-	0	-	0	-	-	-	0	-	ST357-1LV	16	24	21	27	146	22	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR486352	293	88523	204763	ST27	0	1	2	3	-	0	-	0	-	-	-	wzi84	KL28	ST27	2	1	11	1	9	10	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83A;GyrA-87Q	-	-	-	-	-	-	-	AmpH*	-	SHV-40	-	-	-
ERR486353	349	95541	288652	ST27	0	1	6	10	-	0	-	0	-	-	-	wzi356	KL117	ST27	2	1	11	1	9	10	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Sat-2A;Aac3-IIa;Aph3''Ia;StrB?	-	-	GyrA-83Y	-	-	CatA1*	-	SulI?	-	DfrA1	AmpH*;TEM-1D*	-	SHV-40	-	-	-
ERR486354	177	200958	524908	ST42	0	0	7	10	-	0	-	0	-	-	-	wzi29	KL196	ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	GyrA-83F;GyrA-87Y	-	MphA	CatA1*	-	SulI	TetD;TetA*;TetR	DfrA5	AmpH*;SHV-145*;TEM-105*;TEM-105*	-	-	-	-	-
ERR486356	159	318311	605771	ST16	0	1	5	7	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	ParC-80A;ParC-84N	-	-	CatB4?	-	-	TetA;TetR	-	AmpH*;SHV-145*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486358	630	99511	293020	ST1380	0	0	2	2	-	0	-	0	-	-	-	wzi186	KL2	ST1380	2	3	1	1	9	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26
ERR486359	172	239433	1017893	ST874-1LV	0	0	7	14	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*;OXA-1	-	-	-	-	-
ERR486360	177	211727	533099	ST147	0	1	4	4	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	-	-	-	CatB4?	-	-	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486361	208	206481	533098	ST147	0	1	4	4	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	-	-	-	CatB4?	-	-	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486362	165	206482	409203	ST147	0	1	6	7	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*	-	-	QnrB1*	-	-	CatA2*	-	SulII	-	DfrA14	SHV-67*;AmpH*	-	CTX-M-15	-	-	-
ERR486365	302	163445	445402	ST26-1LV	0	0	4	7	-	0	-	0	-	-	-	wzi273	KL30	ST26-1LV	2	1	1	1	9	1	89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-A1;ParC-80A;ParC-84N	-	-	CmlA5*?	-	SulI;SulI	-	DfrA5	AmpH*;SHV-69*?	-	-	-	-	-
ERR486366	228	161239	562945	ST502-1LV	0	0	1	2	-	0	-	0	-	-	-	0	-	ST502-1LV	2	53	3	1	1	4	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*;SHV-108*	-	-	-	-	-
ERR486367	110	189982	360082	ST147	0	1	6	10	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IIa*	-	-	QnrB1*;ParC-80A;ParC-84N	-	-	CatB4?	-	SulII	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486369	270	277976	914351	ST1683	0	1	6	7	-	0	-	0	-	-	-	wzi71	KL71	ST1683	16	18	21	27	39	22	278	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1	-	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;LEN-24*;TEM-150*;OXA-9	-	SHV-12	-	-	-
ERR486370	432	162952	402471	ST1608-1LV	0	1	4	6	-	0	-	0	-	-	-	wzi51	KL27	ST1608-1LV	29	24	46	27	47	22	341	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	ParC-80T;ParC-84R	-	-	-	-	-	-	DfrA5	AmpH*;LEN-24*;TEM-150*;OXA-9	-	SHV-12	-	-	-
ERR486372	106	425598	729876	ST16	0	0	4	5	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	ParC-80A;ParC-84N	-	-	-	-	SulI	-	DfrA25	SHV-145*;AmpH*	-	-	-	-	-
ERR486374	140	432700	781030	ST1872-2LV	0	1	5	8	-	0	-	0	-	-	-	0	-	ST1872-2LV	16	24	21	31	54	40	103	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-A1;ParC-80A;ParC-84N	-	-	CmlA5*?	-	SulI;SulI	-	DfrA5	LEN-24*;AmpH*	-	SHV-12	-	-	-
ERR486375	143	204124	679563	ST15	1	1	6	9	ybt 10; ICEKp4	84-2LV	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	3	12	4*	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	GyrA-83F;GyrA-87A	-	-	CatB4?	-	SulII	-	DfrA14	AmpH*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486376	184	215532	439133	ST359	0	0	1	2	-	0	-	0	-	-	-	wzi236	KL10	ST359	10	1	2	1	9	27	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*;SHV-33*	-	-	-	-	-
ERR486378	160	315642	487449	ST134	2	0	5	6	-	0	-	0	-	iroN	-	wzi168	KL25	ST134	3	1	2	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	-	SulI	TetA;TetR	DfrA1*	AmpH*	-	-	-	SHV-60	-
ERR486379	164	286708	1125802	ST874-1LV	0	1	8	15	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486381	211	193884	874819	ST334	0	0	1	2	-	0	-	0	-	-	-	wzi337	KL103	ST334	18	22	18	22	25	37	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	OKP-B-17?;AmpH*	-	-	-	-	-
ERR486383	179	217143	1017887	ST874-1LV	0	1	8	14	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486387	93	357487	843881	ST5	3	0	0	0	ybt 2; ICEKp1	324	-	0	iucABCD	iroBCDN	-	wzi112	KL13 (KL39)	ST5	2	2	1	1	3	3	3	8	7	9	6	5	13	36	6	7	7	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-108*	-	-	-	-	-
ERR486388	146	203059	579681	ST45	1	0	5	5	ybt 10; ICEKp4	78	-	0	-	-	-	wzi101	KL24	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	CatA1*	-	SulI	TetD	-	AmpH*	-	-	-	SHV-1*?	-
ERR486389	210	190036	869893	ST874	0	1	7	10	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80A;ParC-84H	-	MphA	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486390	135	207887	429966	ST340	0	1	7	8	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80A;ParC-84N	-	-	CatB4?	-	SulI	-	DfrA30*	AmpH*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR486391	177	167833	672294	ST11	0	0	7	8	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80I	-	MphA	CatA1*;CatB4?	-	SulI	-	DfrA12	AmpH*;OXA-1	-	-	-	SHV-11	-
ERR486392	132	362915	1543642	ST70	1	1	8	11	ybt 8; ICEKp9	195	-	0	-	-	-	wzi123	KL136	ST70	2	6	17	1	20	10	25	5	11	6	5	1	99	138	9	29	5	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	CatB4?	-	SulII	TetA;TetR	DfrA14	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-32	-
ERR486393	253	361409	1413852	ST292	3	0	0	0	ybt unknown	0	clb unknown	0	-	-	-	wzi96	KL38	ST292	2	1	2	1	1	1	4	6	15	5*	4*	11	28*	223*	42*	1*	91*	2	2	10*	2*	2	2*	2	2	8	2*	2	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	-
